"full_name","H","albedo","diameter_sigma","e","a","i"
"  8013 Gordonmoore (1990 KA)",17.09,,,0.4321,2.2,7.60
"  8014 (1990 MF)",18.88,,,0.4560,1.748,1.87
"  8034 Akka (1992 LR)",18.02,,,0.4091,1.831,2.02
"  8035 (1992 TB)",17.12,,,0.4624,1.342,28.31
"  8037 (1993 HO1)",16.63,,,0.4177,1.986,5.91
"  8176 (1991 WA)",17.01,,,0.6432,1.575,39.59
"  8201 (1994 AH2)",15.94,0.154,0.18,0.7061,2.54,9.54
"  8507 (1991 CB1)",17.21,,,0.5948,1.687,14.60
"  8566 (1996 EN)",16.47,0.217,0.26,0.4304,1.506,37.98
"  8567 (1996 HW1)",15.36,0.156,0.07,0.4491,2.046,8.45
"  8709 Kadlu (1994 JF1)",17.07,,,0.4945,2.521,3.54
"  9058 (1992 JB)",17.81,,,0.3597,1.557,16.09
"  9162 Kwiila (1987 OA)",18.01,0.088,0.23,0.5955,1.497,9.01
"  9172 Abhramu (1989 OB)",16.64,,,0.5528,2.71,7.84
"  9202 (1993 PB)",16.10,0.332,0.04,0.6078,1.424,40.80
"  9400 (1994 TW1)",14.84,0.155,0.06,0.5807,2.588,35.98
"  9856 (1991 EE)",17.11,0.3,,0.6258,2.243,9.83
"  9950 ESA (1990 VB)",16.21,,,0.5329,2.439,14.59
" 10115 (1992 SK)",17.10,0.318,0.29,0.3249,1.249,15.32
" 10145 (1994 CK1)",17.00,,,0.6326,1.9,4.55
" 10150 (1994 PN)",15.45,,,0.5443,2.374,45.96
" 10165 (1995 BL2)",17.36,0.372,0.22,0.5039,1.235,23.90
" 10302 (1989 ML)",19.45,,,0.1369,1.273,4.38
" 10563 Izhdubar (1993 WD)",16.94,,,0.2662,1.007,63.47
" 10636 (1998 QK56)",17.70,0.645,0.07,0.5128,1.885,13.57
" 10860 (1995 LE)",17.02,,,0.5752,2.577,4.14
" 11054 (1991 FA)",17.07,,,0.4465,1.979,3.08
" 11066 Sigurd (1992 CC1)",15.17,0.190,0.09,0.3754,1.392,36.88
" 11284 Belenus (1990 BA)",18.25,,,0.3374,1.74,1.99
" 11311 Peleus (1993 XN2)",15.74,,,0.5358,2.116,25.49
" 11398 (1998 YP11)",16.38,0.318,0.35,0.3891,1.721,15.02
" 11405 (1999 CV3)",15.22,0.112,0.06,0.3938,1.46,22.86
" 11500 Tomaiyowit (1989 UR)",18.36,0.142,0.01,0.3558,1.08,10.31
" 11885 Summanus (1990 SS)",18.52,0.033,0.45,0.4745,1.703,19.43
" 12538 (1998 OH)",15.96,0.232,0.33,0.4059,1.542,24.54
" 12711 Tukmit (1991 BB)",16.04,,,0.2721,1.186,38.49
" 12923 Zephyr (1999 GK4)",15.80,0.199,0.01,0.4927,1.962,5.31
" 13553 Masaakikoyama (1992 JE)",16.54,,,0.4636,2.19,5.87
" 13651 (1997 BR)",17.89,0.511,0.02,0.3057,1.336,17.25
" 14402 (1991 DB)",18.77,0.14,,0.4017,1.715,11.41
" 14827 Hypnos (1986 JK)",18.81,,,0.6643,2.851,1.97
" 15745 Yuliya (1991 PM5)",17.41,,,0.2554,1.72,14.43
" 15817 Lucianotesi (1994 QC)",18.47,,,0.1181,1.325,13.87
" 16064 Davidharvey (1999 RH27)",16.86,0.020,0.59,0.5893,2.851,4.54
" 16636 (1993 QP)",18.78,,,0.4679,2.311,7.21
" 16657 (1993 UB)",16.55,,,0.4607,2.277,24.94
" 16816 (1997 UF9)",16.23,,,0.6037,1.443,25.92
" 16834 (1997 WU22)",15.75,0.22,,0.4422,1.468,16.00
" 16912 Rhiannon (1998 EP8)",17.91,,,0.2727,1.751,24.52
" 16960 (1998 QS52)",14.32,,,0.8591,2.2,17.52
" 17181 (1999 UM3)",16.77,,,0.6740,2.37,10.65
" 17182 (1999 VU)",17.14,0.028,0.20,0.5534,1.387,9.27
" 17188 (1999 WC2)",16.40,0.147,0.23,0.6367,2.216,29.45
" 17274 (2000 LC16)",16.87,0.037,0.11,0.5541,2.731,5.57
" 17511 (1992 QN)",17.32,,,0.3587,1.19,9.58
" 18106 Blume (2000 NX3)",17.78,,,0.5120,2.443,4.22
" 18109 (2000 NG11)",17.19,,,0.3676,1.881,0.81
" 18172 (2000 QL7)",15.69,,,0.5110,2.426,17.83
" 18736 (1998 NU)",15.98,,,0.4911,2.35,2.81
