"full_name","H","albedo","diameter_sigma","e","a","i"
"       (2020 DP2)",21.50,,,0.7911,2.633,14.07
"       (2020 DR2)",18.80,,,0.6909,2.283,19.73
"       (2020 DS2)",21.78,,,0.8312,2.376,12.00
"       (2020 DT2)",27.60,,,0.3834,1.029,1.95
"       (2020 DV2)",25.10,,,0.2318,1.396,16.35
"       (2020 DX2)",23.50,,,0.6119,2.246,9.86
"       (2020 DY2)",25.10,,,0.5682,2.202,2.78
"       (2020 DZ2)",24.00,,,0.5297,2.156,20.86
"       (2020 DB3)",20.52,,,0.3895,0.7449,11.28
"       (2020 DC3)",21.95,,,0.8353,2.01,3.62
"       (2020 DD3)",24.98,,,0.6613,1.647,5.60
"       (2020 DE3)",23.90,,,0.5277,2.113,10.06
"       (2020 DF3)",24.20,,,0.6350,1.451,36.58
"       (2020 DG3)",27.53,,,0.0935,1.061,2.91
"       (2020 DJ3)",24.40,,,0.3045,1.549,33.86
"       (2020 DM3)",26.20,,,0.6823,2.554,5.37
"       (2020 DN3)",26.84,,,0.5261,1.575,2.08
"       (2020 DO3)",27.50,,,0.5619,0.8092,6.81
"       (2020 DP3)",25.80,,,0.5288,2.15,6.97
"       (2020 DQ3)",24.90,,,0.3605,1.551,14.03
"       (2020 DR3)",26.10,,,0.4956,1.942,12.50
"       (2020 DS3)",25.90,,,0.2455,1.108,5.41
"       (2020 DT3)",21.21,,,0.6065,2.252,3.26
"       (2020 DU3)",24.90,,,0.4531,1.9,21.30
"       (2020 DV3)",27.90,,,0.4689,1.482,1.09
"       (2020 DW3)",28.40,,,0.3145,1.448,2.26
"       (2020 DY3)",24.70,,,0.3043,1.37,19.97
"       (2020 DZ3)",25.50,,,0.6160,1.106,15.55
"       (2020 DA4)",25.59,,,0.4317,1.618,0.84
"       (2020 DB4)",25.40,,,0.3620,1.565,2.27
"       (2020 DC4)",25.70,,,0.2202,1.361,26.76
"       (2020 DD4)",28.30,,,0.3950,1.379,0.54
"       (2020 DF4)",26.20,,,0.2643,1.43,25.58
"       (2020 DG4)",28.15,,,0.3188,1.325,0.81
"       (2020 DH4)",24.40,,,0.4693,1.58,11.28
"       (2020 DJ4)",22.90,,,0.4189,1.77,14.62
"       (2020 DK4)",24.80,,,0.2459,1.464,20.70
"       (2020 DL4)",24.20,,,0.1162,1.23,27.27
"       (2020 DM4)",21.73,,,0.4557,1.888,4.11
"       (2020 DN4)",27.90,,,0.2435,1.156,3.36
"       (2020 DO4)",27.50,,,0.2079,0.9114,1.17
"       (2020 DP4)",25.18,,,0.2811,1.22,1.45
"       (2020 DQ4)",25.86,,,0.1166,1.18,10.87
"       (2020 DR4)",29.75,,,0.2924,0.8154,4.36
"       (2020 DT4)",25.50,,,0.0780,1.013,7.66
"       (2020 DU4)",23.59,,,0.3545,1.329,13.50
"       (2020 DV4)",25.40,,,0.7131,1.681,2.38
"       (2020 DW4)",25.00,,,0.5512,2.205,3.52
"       (2020 DX4)",26.90,,,0.4317,1.608,25.11
"       (2020 DA5)",25.00,,,0.2366,1.388,26.44
"       (2020 DB5)",19.21,,,0.5196,2.133,11.68
"       (2020 DC5)",23.20,,,0.3339,1.767,25.27
"       (2020 DP14)",30.31,,,0.2724,1.276,3.49
"       (2020 DP16)",25.58,,,0.0976,0.9189,27.01
"       (2020 DQ16)",27.81,,,0.2995,1.069,5.23
"       (2020 DR16)",24.64,,,0.4481,1.722,16.79
"       (2020 EA)",24.60,,,0.4592,1.914,11.17
"       (2020 EC)",19.43,,,0.6929,2.494,19.19
"       (2020 ED)",26.92,,,0.5243,2.054,1.11
"       (2020 EE)",27.00,,,0.2614,1.301,10.55
"       (2020 EF)",26.20,,,0.1150,0.9595,6.85
"       (2020 EG)",29.70,,,0.1967,1.225,2.28
"       (2020 EH)",21.00,,,0.6947,1.73,45.04
"       (2020 EJ)",23.70,,,0.2037,1.096,10.28
"       (2020 EK)",24.90,,,0.5879,1.267,11.65
"       (2020 EM)",19.81,,,0.7105,1.829,25.11
"       (2020 EN)",18.07,,,0.5537,2.059,7.75
"       (2020 EO)",25.90,,,0.2519,1.299,7.08
"       (2020 EQ)",29.20,,,0.3667,1.378,4.15
"       (2020 ER)",27.00,,,0.1232,1.146,4.44
"       (2020 ES)",23.46,,,0.1619,1.325,13.25
"       (2020 ET)",25.80,,,0.5841,2.389,2.52
"       (2020 EU)",24.10,,,0.3726,1.771,9.49
"       (2020 EV)",22.40,,,0.6431,1.499,39.27
"       (2020 EX)",22.00,,,0.5341,1.069,10.53
"       (2020 FB)",25.50,,,0.3219,1.491,3.11
"       (2020 FC)",23.20,,,0.6494,1.622,8.92
"       (2020 FD)",27.67,,,0.4866,1.215,1.17
"       (2020 FE)",22.40,,,0.7388,2.177,0.41
"       (2020 FF)",26.80,,,0.4176,1.773,2.56
"       (2020 FG)",27.90,,,0.6488,2.373,1.82
"       (2020 FH)",26.10,,,0.4987,2.002,11.38
"       (2020 FK)",28.30,,,0.3829,1.377,4.16
"       (2020 FL)",24.81,,,0.3968,0.8712,5.90
"       (2020 FM)",24.10,,,0.3125,0.9922,21.61
"       (2020 FN)",27.60,,,0.5263,2.113,1.55
"       (2020 FO)",25.90,,,0.4576,1.161,29.94
"       (2020 FP)",25.99,,,0.5469,2.175,2.94
"       (2020 FQ)",27.31,,,0.2534,1.308,9.40
"       (2020 FR)",26.10,,,0.7222,2.431,9.44
"       (2020 FS)",27.80,,,0.3262,1.507,0.92
"       (2020 FT)",24.30,,,0.7537,1.959,1.60
"       (2020 FU)",26.40,,,0.1784,1.21,28.88
"       (2020 FV)",24.90,,,0.1563,1.107,35.79
"       (2020 FW)",26.70,,,0.5240,2.064,9.91
"       (2020 FX)",24.61,,,0.1734,1.321,18.36
"       (2020 FY)",23.40,,,0.2103,1.41,19.41
"       (2020 FZ)",25.30,,,0.6310,2.967,3.73
"       (2020 FA1)",26.37,,,0.0312,1.027,3.54
"       (2020 FB1)",25.60,,,0.3692,1.075,3.60
"       (2020 FC1)",27.40,,,0.1797,1.253,4.43
"       (2020 FE1)",26.00,,,0.0858,1.142,10.54
"       (2020 FF1)",27.90,,,0.4952,1.619,2.00
"       (2020 FG1)",25.10,,,0.2210,1.347,26.44
"       (2020 FH1)",25.20,,,0.4758,1.925,7.09
"       (2020 FJ1)",25.40,,,0.4211,1.887,6.78
"       (2020 FK1)",27.40,,,0.0897,0.9514,8.97
"       (2020 FL1)",26.75,,,0.4337,1.721,4.70
"       (2020 FM1)",29.30,,,0.2648,1.137,1.84
"       (2020 FN1)",22.80,,,0.4358,1.736,12.85
"       (2020 FO1)",21.20,,,0.8206,2.301,2.86
"       (2020 FP1)",23.45,,,0.5017,1.58,34.59
"       (2020 FQ1)",21.70,,,0.5318,1.806,12.11
"       (2020 FR1)",21.23,,,0.6148,1.406,13.12
"       (2020 FS1)",21.13,,,0.5263,1.287,11.30
"       (2020 FT1)",22.40,,,0.2705,1.104,4.79
"       (2020 FU1)",27.80,,,0.2759,1.424,4.29
"       (2020 FW1)",26.90,,,0.0168,1.065,2.27
"       (2020 FX1)",25.70,,,0.5285,2.337,5.20
"       (2020 FZ1)",26.60,,,0.2318,1.064,8.54
"       (2020 FA2)",27.46,,,0.2215,1.222,11.05
"       (2020 FB2)",26.20,,,0.2950,1.384,16.97
"       (2020 FC2)",28.00,,,0.3988,1.645,6.82
"       (2020 FD2)",25.70,,,0.9173,3.002,0.27
"       (2020 FE2)",26.00,,,0.5052,2.032,4.66
"       (2020 FH2)",21.16,,,0.4934,1.815,7.99
"       (2020 FJ2)",20.15,,,0.6104,1.755,14.68
"       (2020 FK2)",23.10,,,0.6588,1.823,9.15
"       (2020 FL2)",26.10,,,0.6089,1.318,6.96
"       (2020 FM2)",26.30,,,0.2623,1.344,16.35
"       (2020 FN2)",25.10,,,0.2409,1.371,10.80
"       (2020 FO2)",22.40,,,0.4376,1.974,11.59
"       (2020 FS2)",24.32,,,0.2654,1.032,11.84
"       (2020 FT2)",23.10,,,0.4848,1.616,24.77
"       (2020 FU2)",28.60,,,0.5659,1.928,5.67
"       (2020 FV2)",22.16,,,0.4708,2.097,32.54
"       (2020 FW2)",24.10,,,0.5994,2.488,6.65
"       (2020 FX2)",23.60,,,0.3431,1.493,29.46
"       (2020 FY2)",25.20,,,0.5532,1.91,4.03
"       (2020 FZ2)",25.10,,,0.7127,1.904,2.13
"       (2020 FA3)",23.40,,,0.4180,1.823,3.14
"       (2020 FB3)",25.07,,,0.2462,1.312,8.39
"       (2020 FC3)",24.90,,,0.5462,2.136,2.03
"       (2020 FD3)",23.40,,,0.3406,1.491,2.93
"       (2020 FE3)",22.60,,,0.5766,2.286,16.75
"       (2020 FF3)",25.10,,,0.6514,2.986,14.53
"       (2020 FG3)",24.80,,,0.5311,1.999,12.13
"       (2020 FH3)",26.30,,,0.5399,1.951,2.97
"       (2020 FJ3)",23.93,,,0.2843,0.8299,13.30
"       (2020 FK3)",25.30,,,0.5042,1.922,2.59
"       (2020 FM3)",23.40,,,0.5471,2.411,14.67
"       (2020 FN3)",24.38,,,0.2081,1.013,0.90
"       (2020 FO3)",23.10,,,0.0681,1.221,22.18
"       (2020 FP3)",23.80,,,0.3588,1.802,12.28
"       (2020 FR3)",20.70,,,0.6475,1.973,8.87
"       (2020 FS3)",23.70,,,0.6912,3.043,17.43
"       (2020 FT3)",23.10,,,0.3676,1.438,1.57
"       (2020 FV3)",27.70,,,0.1512,1.025,9.06
"       (2020 FW3)",21.07,,,0.4753,2.185,10.04
"       (2020 FX3)",24.11,,,0.5081,1.852,4.53
"       (2020 FB4)",26.80,,,0.1497,1.202,10.72
"       (2020 FC4)",23.06,,,0.6025,2.04,5.45
"       (2020 FD4)",23.80,,,0.7849,2.483,3.34
"       (2020 FE4)",24.00,,,0.4288,1.448,17.65
"       (2020 FF4)",27.90,,,0.0415,1.029,6.76
"       (2020 FG4)",26.90,,,0.4999,1.709,2.68
"       (2020 FH4)",28.40,,,0.1407,1.167,2.89
"       (2020 FJ4)",29.50,,,0.6326,2.424,7.43
"       (2020 FK4)",27.50,,,0.2471,1.288,0.93
"       (2020 FL4)",26.96,,,0.2204,1.307,5.53
"       (2020 FM4)",23.25,,,0.4911,2.108,4.39
"       (2020 FN4)",24.50,,,0.4549,1.779,5.93
"       (2020 FO4)",27.00,,,0.3474,1.536,4.07
"       (2020 FV4)",25.39,,,0.4419,0.7136,3.63
"       (2020 FW4)",21.70,,,0.6937,2.302,5.02
"       (2020 FX4)",21.73,,,0.5936,2.448,9.88
"       (2020 FY4)",24.57,,,0.2158,1.14,10.68
"       (2020 FZ4)",23.46,,,0.1528,1.314,16.50
"       (2020 FA5)",21.14,,,0.8009,1.914,6.56
"       (2020 FB5)",24.80,,,0.8431,1.602,3.10
"       (2020 FC5)",20.50,,,0.5425,2.823,12.36
"       (2020 FD5)",24.60,,,0.7401,1.577,10.64
"       (2020 FF5)",24.90,,,0.3841,1.692,2.55
"       (2020 FG5)",25.20,,,0.5158,2.177,9.14
"       (2020 FH5)",23.00,,,0.5681,1.778,22.03
"       (2020 FJ5)",26.00,,,0.3920,1.612,9.17
"       (2020 FK5)",20.74,,,0.4702,1.918,3.46
"       (2020 FL5)",23.21,,,0.5847,1.57,3.25
"       (2020 FM5)",28.60,,,0.1893,0.9124,3.49
"       (2020 FN5)",25.90,,,0.4367,1.881,1.60
"       (2020 FO5)",20.55,,,0.8900,3.276,7.41
"       (2020 FP5)",29.70,,,0.2929,1.275,5.35
"       (2020 FR5)",21.00,,,0.5501,2.21,23.21
"       (2020 FS5)",25.00,,,0.1838,1.337,14.35
"       (2020 FT5)",26.00,,,0.5094,1.71,2.98
"       (2020 FU5)",23.50,,,0.4984,1.914,10.72
"       (2020 FV5)",22.30,,,0.2455,1.508,12.24
"       (2020 FW5)",25.72,,,0.4328,1.593,16.30
"       (2020 FZ5)",25.30,,,0.3675,1.396,27.20
"       (2020 FB6)",20.80,,,0.6027,2.256,8.56
"       (2020 FE6)",20.06,,,0.8011,2.211,14.06
"       (2020 FF6)",20.67,,,0.5716,2.537,5.18
"       (2020 FG6)",27.10,,,0.1586,1.059,8.73
"       (2020 FH6)",20.14,,,0.5089,2.451,15.87
"       (2020 FK6)",28.10,,,0.4421,1.154,6.76
"       (2020 FL6)",25.30,,,0.4853,1.658,3.40
"       (2020 FM6)",21.94,,,0.4938,1.364,14.98
"       (2020 FQ6)",25.07,,,0.5372,2.09,6.42
"       (2020 FR6)",21.45,,,0.2492,1.352,21.02
"       (2020 FU6)",22.00,,,0.6523,3.218,7.31
"       (2020 FV6)",22.91,,,0.7231,2.65,3.17
"       (2020 FW6)",23.22,,,0.2987,1.311,25.55
"       (2020 FX6)",22.41,,,0.1609,1.235,8.37
"       (2020 FY6)",25.10,,,0.0643,1.077,7.20
"       (2020 FZ6)",21.30,,,0.7479,2.311,3.23
"       (2020 FA7)",22.30,,,0.5254,2.146,7.92
"       (2020 FB7)",26.10,,,0.2783,1.366,28.62
"       (2020 FG15)",23.65,,,0.1133,1.284,2.59
"       (2020 FZ46)",24.00,,,0.6229,2.18,0.35
"       (2020 GB)",25.70,,,0.3333,0.9409,6.31
"       (2020 GC)",26.50,,,0.4166,1.356,14.12
"       (2020 GD)",22.09,,,0.5794,1.412,21.37
"       (2020 GE)",28.17,,,0.0497,0.9846,1.65
"       (2020 GF)",26.00,,,0.2360,0.8373,3.95
"       (2020 GG)",26.50,,,0.2603,1.335,5.16
"       (2020 GH)",29.00,,,0.5785,2.098,1.11
"       (2020 GK)",26.80,,,0.2152,1.243,5.71
"       (2020 GL)",23.10,,,0.5234,1.823,21.06
"       (2020 GM)",26.50,,,0.3724,1.48,9.20
"       (2020 GN)",27.40,,,0.3001,1.323,6.07
"       (2020 GO)",28.10,,,0.3897,1.536,7.75
"       (2020 GP)",24.50,,,0.4590,1.803,13.00
"       (2020 GQ)",26.40,,,0.1705,0.8988,6.14
"       (2020 GR)",25.60,,,0.3787,1.663,10.42
"       (2020 GS)",23.70,,,0.5501,2.383,8.59
"       (2020 GT)",25.70,,,0.4103,1.44,8.61
"       (2020 GU)",24.80,,,0.4654,1.731,8.27
"       (2020 GV)",26.30,,,0.4731,1.929,2.79
"       (2020 GW)",27.30,,,0.4792,1.761,0.58
"       (2020 GX)",24.10,,,0.4826,1.383,28.96
"       (2020 GY)",25.30,,,0.4739,1.56,8.64
"       (2020 GZ)",27.00,,,0.6197,1.774,0.60
"       (2020 GA1)",24.80,,,0.0350,1.068,11.97
"       (2020 GB1)",26.90,,,0.1777,1.047,11.46
"       (2020 GC1)",25.25,,,0.2642,1.155,11.87
"       (2020 GD1)",23.20,,,0.6039,1.758,10.23
"       (2020 GE1)",27.10,,,0.0845,0.9939,7.77
"       (2020 GF1)",26.30,,,0.1335,1.112,9.00
"       (2020 GG1)",25.30,,,0.2967,1.493,8.27
"       (2020 GH1)",25.62,,,0.3662,1.595,9.67
"       (2020 GJ1)",26.20,,,0.2462,1.048,7.67
"       (2020 GK1)",25.19,,,0.6526,2.067,4.67
"       (2020 GL1)",26.80,,,0.4388,1.63,11.01
"       (2020 GM1)",23.70,,,0.7326,1.295,11.74
"       (2020 GN1)",27.00,,,0.2653,1.3,1.79
"       (2020 GO1)",27.60,,,0.3600,1.556,8.35
"       (2020 GP1)",23.60,,,0.6406,2.258,14.91
"       (2020 GQ1)",26.80,,,0.6519,2.217,0.31
"       (2020 GR1)",23.70,,,0.3185,1.637,12.85
"       (2020 GS1)",22.20,,,0.2588,1.187,16.85
"       (2020 GT1)",24.90,,,0.5872,2.586,8.67
"       (2020 GU1)",27.00,,,0.1947,1.103,6.58
"       (2020 GV1)",27.90,,,0.5590,2.221,0.86
"       (2020 GW1)",25.80,,,0.6095,2.267,7.77
"       (2020 GX1)",21.86,,,0.6136,2.148,9.00
"       (2020 GY1)",26.60,,,0.4095,1.278,5.97
"       (2020 GZ1)",26.00,,,0.8543,2.391,6.28
"       (2020 GA2)",21.14,,,0.4269,1.281,42.98
"       (2020 GB2)",21.14,,,0.9501,2.339,15.23
"       (2020 GC2)",21.52,,,0.3055,1.797,7.30
"       (2020 GD2)",20.41,,,0.6127,2.376,21.37
"       (2020 GE2)",20.80,,,0.7712,2.426,15.85
"       (2020 GF2)",26.00,,,0.5643,2.229,6.65
"       (2020 GG2)",24.30,,,0.3887,1.671,29.82
"       (2020 GH2)",26.60,,,0.3359,1.471,10.99
"       (2020 GJ2)",24.80,,,0.6490,2.82,2.16
"       (2020 GK2)",22.50,,,0.5958,1.865,9.00
"       (2020 GM2)",23.60,,,0.3918,1.151,22.52
"       (2020 GN2)",25.60,,,0.3700,1.384,6.07
"       (2020 GO2)",26.30,,,0.2475,1.353,6.73
"       (2020 GP2)",24.60,,,0.1663,1.243,11.91
"       (2020 GQ2)",18.36,,,0.5219,2.488,25.54
"       (2020 GR2)",26.50,,,0.3127,1.489,3.13
"       (2020 GS2)",22.97,,,0.0664,1.181,22.95
"       (2020 GT2)",25.20,,,0.2048,1.141,22.23
"       (2020 GU2)",21.40,,,0.7116,2.103,14.59
"       (2020 GV2)",26.70,,,0.6900,2.546,0.70
"       (2020 GX2)",26.50,,,0.1969,0.9105,17.14
"       (2020 GY2)",23.60,,,0.6532,2.426,5.08
"       (2020 GZ2)",27.90,,,0.3758,0.8068,2.55
"       (2020 GA3)",25.04,,,0.5298,1.335,6.49
"       (2020 GB3)",26.50,,,0.2453,1.355,6.12
"       (2020 GC3)",23.60,,,0.4961,2.246,10.51
"       (2020 GD3)",27.30,,,0.3257,1.544,6.54
"       (2020 GE3)",26.10,,,0.2347,0.9017,1.48
"       (2020 GF3)",19.80,,,0.5491,2.405,33.99
"       (2020 GK3)",22.73,,,0.4607,2.349,2.05
"       (2020 HA)",25.70,,,0.6458,2.669,5.27
"       (2020 HB)",25.20,,,0.5869,2.04,0.95
"       (2020 HD)",24.50,,,0.5348,2.358,4.25
"       (2020 HE)",23.60,,,0.9418,2.515,20.49
"       (2020 HF)",25.20,,,0.2782,0.8818,0.31
"       (2020 HG)",24.30,,,0.4766,2.104,5.70
"       (2020 HH)",19.99,,,0.6130,1.501,12.36
"       (2020 HJ)",25.30,,,0.1205,1.159,13.79
"       (2020 HK)",25.06,,,0.2918,1.203,14.99
"       (2020 HL)",25.00,,,0.4037,1.522,5.01
"       (2020 HM)",24.30,,,0.3634,1.606,27.91
"       (2020 HN)",28.60,,,0.1374,1.056,0.59
"       (2020 HO)",28.60,,,0.6770,1.848,7.08
"       (2020 HP)",24.20,,,0.5530,2.048,2.96
"       (2020 HR)",21.18,,,0.6941,1.64,7.97
"       (2020 HT)",26.70,,,0.1701,0.9357,9.54
"       (2020 HU)",24.90,,,0.5240,2.131,3.60
"       (2020 HV)",28.80,,,0.3311,1.425,2.81
"       (2020 HW)",26.20,,,0.1159,1.089,26.13
"       (2020 HX)",24.30,,,0.5949,2.648,6.41
"       (2020 HY)",22.91,,,0.5525,0.8988,18.27
"       (2020 HB1)",27.10,,,0.5723,2.377,1.37
"       (2020 HC1)",23.20,,,0.5471,1.991,14.05
"       (2020 HD1)",23.74,,,0.2872,1.572,23.03
"       (2020 HE1)",27.40,,,0.3603,1.439,2.74
"       (2020 HH1)",23.30,,,0.2309,1.076,10.87
"       (2020 HJ1)",24.30,,,0.5028,2.45,2.98
"       (2020 HK1)",23.60,,,0.4169,1.17,26.87
"       (2020 HL1)",25.30,,,0.6136,2.449,1.42
"       (2020 HM1)",21.10,,,0.5989,2.851,7.34
"       (2020 HN1)",25.40,,,0.5711,2.6,5.77
"       (2020 HO1)",26.94,,,0.4232,1.759,2.16
"       (2020 HP1)",28.60,,,0.1330,0.9832,4.50
"       (2020 HQ1)",23.60,,,0.4474,1.533,6.15
"       (2020 HR1)",24.50,,,0.4512,1.946,11.48
"       (2020 HS1)",25.86,,,0.0675,1.112,2.54
"       (2020 HT1)",25.85,,,0.5724,2.308,3.17
"       (2020 HU1)",23.50,,,0.3490,0.8011,43.44
"       (2020 HV1)",22.56,,,0.5129,2.099,7.93
"       (2020 HW1)",19.40,,,0.7961,1.972,23.31
"       (2020 HX1)",24.00,,,0.2697,1.178,16.88
"       (2020 HY1)",24.31,,,0.3305,0.8786,2.52
"       (2020 HB2)",20.50,,,0.4032,1.81,34.65
"       (2020 HC2)",22.10,,,0.4538,2.215,1.25
"       (2020 HD2)",23.00,,,0.4939,2.336,7.02
"       (2020 HE2)",21.40,,,0.4786,1.539,12.61
"       (2020 HF2)",23.98,,,0.4490,2.056,7.85
"       (2020 HG2)",22.13,,,0.5760,1.806,43.22
"       (2020 HH2)",23.32,,,0.4457,2.044,9.16
"       (2020 HJ2)",24.80,,,0.4999,1.975,5.49
"       (2020 HM2)",25.70,,,0.3069,1.507,4.59
"       (2020 HN2)",25.80,,,0.4747,1.626,7.64
"       (2020 HO2)",24.30,,,0.1463,1.29,24.51
"       (2020 HP2)",22.40,,,0.6117,1.639,7.27
"       (2020 HQ2)",22.40,,,0.4371,2.263,3.09
"       (2020 HT2)",22.46,,,0.5117,2.132,8.82
"       (2020 HU2)",26.59,,,0.3299,1.52,4.97
"       (2020 HV2)",19.10,,,0.7359,2.821,35.80
"       (2020 HW2)",24.89,,,0.3746,0.8138,3.28
"       (2020 HX2)",22.11,,,0.3130,0.8693,9.26
"       (2020 HY2)",24.96,,,0.9462,2.314,11.39
"       (2020 HB3)",25.12,,,0.4066,1.511,11.25
"       (2020 HE3)",23.00,,,0.0618,1.233,27.21
"       (2020 HF3)",24.40,,,0.5541,2.431,2.51
"       (2020 HG3)",26.08,,,0.5220,2.008,8.35
"       (2020 HH3)",23.80,,,0.5201,2.411,12.42
"       (2020 HJ3)",22.60,,,0.4620,1.938,14.01
"       (2020 HK3)",24.20,,,0.6585,1.569,21.83
"       (2020 HL3)",24.10,,,0.5574,2.352,2.30
"       (2020 HM3)",24.80,,,0.1972,1.043,28.98
"       (2020 HN3)",29.40,,,0.1152,1.02,2.92
"       (2020 HO3)",26.00,,,0.2952,1.257,10.02
"       (2020 HP3)",22.30,,,0.4056,1.906,3.11
"       (2020 HQ3)",25.36,,,0.3231,0.9874,3.64
"       (2020 HR3)",24.04,,,0.3411,1.09,8.29
"       (2020 HS3)",27.91,,,0.5229,1.957,4.10
"       (2020 HT3)",25.30,,,0.1396,1.035,5.47
"       (2020 HU3)",26.00,,,0.2978,1.428,24.12
"       (2020 HW3)",22.10,,,0.5460,1.155,45.73
"       (2020 HX3)",27.20,,,0.4718,1.064,0.63
"       (2020 HY3)",23.10,,,0.4251,1.094,16.84
"       (2020 HD4)",24.80,,,0.5127,2.266,5.34
"       (2020 HE4)",23.75,,,0.1622,1.293,14.55
"       (2020 HF4)",27.40,,,0.0242,1.018,4.83
"       (2020 HG4)",26.20,,,0.3710,1.683,12.38
"       (2020 HH4)",22.20,,,0.4773,2.023,29.34
"       (2020 HJ4)",20.14,,,0.5765,2.069,1.22
"       (2020 HK4)",20.21,,,0.5589,2.845,8.57
"       (2020 HL4)",24.60,,,0.3927,0.7958,6.39
"       (2020 HM4)",24.50,,,0.6892,2.243,2.31
"       (2020 HN4)",25.50,,,0.6070,1.948,4.50
"       (2020 HO4)",24.80,,,0.6083,1.498,32.36
"       (2020 HP4)",26.60,,,0.2972,1.379,29.97
"       (2020 HQ4)",27.00,,,0.2133,1.25,0.14
"       (2020 HR4)",23.00,,,0.5025,2.451,4.30
"       (2020 HT4)",25.50,,,0.6287,2.849,5.05
"       (2020 HU4)",22.11,,,0.2689,1.314,0.69
"       (2020 HV4)",23.35,,,0.3526,1.332,10.86
"       (2020 HW4)",23.10,,,0.5203,2.318,8.01
"       (2020 HX4)",26.30,,,0.1025,1.166,15.02
"       (2020 HZ4)",24.20,,,0.7015,2.574,3.52
"       (2020 HA5)",26.80,,,0.2229,1.264,1.97
"       (2020 HB5)",24.00,,,0.5621,2.276,3.14
"       (2020 HC5)",26.90,,,0.5271,2.112,5.22
"       (2020 HD5)",21.79,,,0.5674,1.132,15.53
"       (2020 HE5)",27.70,,,0.0734,1.009,7.25
"       (2020 HF5)",26.70,,,0.2110,1.216,11.17
"       (2020 HG5)",25.70,,,0.2661,1.415,2.31
"       (2020 HH5)",19.21,,,0.8191,2.482,23.76
"       (2020 HJ5)",23.70,,,0.6703,1.764,3.56
"       (2020 HK5)",25.20,,,0.1400,1.328,25.51
"       (2020 HL5)",20.63,,,0.5161,1.628,16.80
"       (2020 HM5)",23.60,,,0.6223,0.8702,11.58
"       (2020 HN5)",25.00,,,0.4832,1.987,5.72
"       (2020 HO5)",28.50,,,0.0239,0.9892,4.71
"       (2020 HP5)",25.10,,,0.2482,1.359,28.98
"       (2020 HS5)",20.24,,,0.3498,1.978,11.56
"       (2020 HT5)",22.90,,,0.7093,1.833,5.14
"       (2020 HU5)",24.70,,,0.5655,1.804,31.71
"       (2020 HV5)",25.50,,,0.6159,2.904,1.94
"       (2020 HW5)",19.90,,,0.5296,2.692,11.73
"       (2020 HX5)",22.43,,,0.3243,1.518,4.30
"       (2020 HY5)",25.50,,,0.5484,1.039,25.98
"       (2020 HB6)",24.20,,,0.3396,1.393,7.94
"       (2020 HC6)",25.40,,,0.2751,1.35,4.88
"       (2020 HD6)",19.79,,,0.6379,2.422,8.15
"       (2020 HE6)",25.60,,,0.6346,2.118,2.84
"       (2020 HF6)",26.50,,,0.6021,2.624,8.09
"       (2020 HG6)",22.90,,,0.4611,2.137,3.33
"       (2020 HH6)",22.10,,,0.3902,1.786,13.79
"       (2020 HJ6)",26.70,,,0.6829,2.534,0.95
"       (2020 HK6)",27.60,,,0.5298,1.571,2.19
"       (2020 HL6)",27.80,,,0.2321,1.26,0.24
"       (2020 HM6)",26.60,,,0.6404,2.109,2.29
"       (2020 HN6)",22.67,,,0.1040,1.279,21.97
"       (2020 HO6)",26.70,,,0.6344,2.666,1.62
"       (2020 HP6)",28.00,,,0.5860,2.215,2.09
"       (2020 HQ6)",23.00,,,0.6746,2.58,1.06
"       (2020 HR6)",26.10,,,0.5763,2.208,5.68
"       (2020 HS6)",22.20,,,0.7719,2.281,9.69
"       (2020 HT6)",24.70,,,0.1766,1.275,4.71
"       (2020 HU6)",19.40,,,0.6851,2.793,34.87
"       (2020 HV6)",21.74,,,0.5368,1.248,16.89
"       (2020 HW6)",26.00,,,0.1985,1.208,10.19
"       (2020 HY6)",26.90,,,0.4313,0.738,9.37
"       (2020 HZ6)",25.40,,,0.7690,2.635,1.47
"       (2020 HA7)",22.84,,,0.4630,1.615,11.66
"       (2020 HB7)",24.20,,,0.3864,1.999,5.50
"       (2020 HD7)",25.30,,,0.5305,2.233,3.54
"       (2020 HE7)",28.80,,,0.1711,0.8726,3.68
"       (2020 HF7)",26.10,,,0.5516,1.332,2.73
"       (2020 HK7)",21.84,,,0.6293,0.9142,13.77
"       (2020 HL7)",22.91,,,0.3651,1.625,10.95
"       (2020 HM7)",25.80,,,0.3635,1.171,5.21
"       (2020 HN7)",24.48,,,0.5372,1.829,21.50
"       (2020 HO7)",23.80,,,0.2934,1.555,33.07
"       (2020 HP7)",24.00,,,0.1735,1.238,14.75
"       (2020 HQ7)",26.10,,,0.1389,1.19,15.03
"       (2020 HR7)",25.40,,,0.3743,1.53,25.27
"       (2020 HS7)",29.10,,,0.5718,1.849,4.73
"       (2020 HT7)",26.90,,,0.2184,1.29,4.95
"       (2020 HU7)",29.70,,,0.5993,2.421,10.01
"       (2020 HV7)",27.10,,,0.4035,1.662,1.55
"       (2020 HW7)",27.10,,,0.3464,1.289,0.25
"       (2020 HX7)",25.40,,,0.4768,2.032,1.63
"       (2020 HA8)",22.30,,,0.4628,1.688,23.27
"       (2020 HB8)",24.90,,,0.0256,1.096,14.48
"       (2020 HN8)",23.70,,,0.2663,1.705,19.05
