id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
3428698,(2008 TD),25.4,0.022108281,0.0494356193,False,2025-10-04,14.1369290299,24268337.351831707,Earth
3667048,(2014 GQ17),27.1,0.0101054342,0.0225964377,False,2025-10-04,9.9368459615,49002315.99586324,Earth
3799876,(2018 ES3),24.64,0.0313729225,0.0701519874,False,2025-10-04,11.797074683,40987360.835682459,Earth
3878561,(2019 TS1),24.26,0.0373727432,0.0835679943,False,2025-10-04,13.1404929752,20399348.107480761,Earth
3879165,(2019 TY6),25.04,0.0260948603,0.0583498816,False,2025-10-04,15.2109133457,18340416.855055263,Earth
3991587,(2020 CR2),27.32,0.0091317703,0.020419259,False,2025-10-04,21.6957600212,27751317.357208065,Earth
54154694,(2021 LA1),25.22,0.024019003,0.0537081235,False,2025-10-04,6.0965747505,30652379.959063711,Earth
54193830,(2021 RF4),23.55,0.0518268695,0.1158884032,False,2025-10-04,5.5201197288,56213476.325251979,Earth
54202332,(2021 TD1),26.01,0.0166937912,0.0373284519,False,2025-10-04,15.7162809525,25687173.067806677,Earth
54203006,(2021 SZ4),20.47,0.2140695897,0.4786741544,True,2025-10-04,44.5235909383,71892716.088680768,Earth
54215217,(2021 VO),21.29,0.1467421834,0.3281254972,False,2025-10-04,13.2737991015,57426097.675502276,Earth
54265894,(2022 FF3),27.77,0.0074225815,0.0165973969,False,2025-10-04,9.5535291324,46320602.018884444,Earth
54352299,(2023 FL4),25.07,0.0257368254,0.0575492912,False,2025-10-04,15.0262947206,74202950.923722975,Earth
54390823,(2023 TT),24.07,0.0407901194,0.0912094798,False,2025-10-04,17.0960093943,25814258.373224413,Earth
54392067,(2023 TM3),26.94,0.0108781483,0.0243242791,False,2025-10-04,21.3994446068,45856607.814193105,Earth
54546621,(2025 SS3),23.78,0.0466181437,0.1042413384,False,2025-10-04,12.9712567003,9807599.630922915,Earth
54549112,(2025 SG22),23.85,0.0451393163,0.1009345797,False,2025-10-04,15.2150233978,15195440.551044529,Earth
54549680,(2025 SZ27),25.15,0.0248058993,0.0554676771,False,2025-10-04,16.413799511,1180837.188398617,Earth
54552662,(2025 TM5),25.19,0.0243531406,0.0544552779,False,2025-10-04,12.6379770213,10610164.15387229,Earth
54553167,(2025 TQ11),24.59,0.0321036917,0.0717860371,False,2025-10-04,5.8370925916,16964012.824610714,Earth
54553670,(2025 US1),25.21,0.0241298697,0.0539560289,False,2025-10-04,7.8816853963,5048673.107970798,Earth
54554171,(2025 TN14),26.29,0.0146742183,0.0328125497,False,2025-10-04,11.0557208009,6468636.178534301,Earth
