H,albedo,diameter_sigma,e,a,i,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_per_s,miss_distance_km,true_label,risk_score
23.82,0.2208857142857142,0.050625,0.4402,0.8212,19.82,23.82,0.0457672667,0.1023387195,12.761702393,11972710.469865344,0,0.011976054043284506
24.3,0.2208857142857142,0.050625,0.3825,1.758,3.94,24.3,0.0366906138,0.0820427065,4.0071364752,15204334.817606444,0,0.0021025186517967683
25.68,0.2208857142857142,0.050625,0.2652,0.988,3.12,25.68,0.0194336768,0.0434550225,5.9277431581,28875545.454976574,0,2.945320177963387e-05
29.49,0.2208857142857142,0.050625,0.0916,1.068,2.84,29.49,0.0033616692,0.0075169209,2.645140072,671017.850013351,0,4.834066469976739e-11
24.7,0.2208857142857142,0.050625,0.3946,1.834,11.63,24.7,0.0305179233,0.0682401509,7.2962081482,17999439.1929134,0,0.0004151751331084154
27.8,0.2208857142857142,0.050625,0.256,1.08,3.38,27.8,0.0073207399,0.016369672,21.8451742674,73671137.69153053,0,1.7534375765381688e-08
24.5,0.2208857142857142,0.050625,0.3533,1.475,1.11,24.5,0.0334622374,0.0748238376,12.9144756493,29666449.048356254,0,0.0021222806917402326
20.71,0.2208857142857142,0.050625,0.7387,1.313,3.92,20.71,0.191670368,0.428587972,23.61028202,10466234.711724248,1,0.9885152538848002
27.23,0.2208857142857142,0.050625,0.1958,0.8721,1.95,27.23,0.0095182033,0.0212833496,3.0042970585,27528954.290371355,0,1.1848208286536833e-07
26.61,0.2208857142857142,0.050625,0.2694,1.028,3.74,26.61,0.0126635356,0.0283165265,4.6165029984,25149395.9669288,0,9.792467258478712e-07
26.93,0.2208857142857142,0.050625,0.3749,1.574,1.11,26.93,0.0109283596,0.0244365549,6.9913476369,4186965.695427977,0,3.9783285335468365e-07
26.33,0.2208857142857142,0.050625,0.1652,1.012,5.49,26.33,0.0144063837,0.0322136532,4.5746169495,8992641.178760419,0,4.0256662935952675e-06
28.86,0.2208857142857142,0.050625,0.1112,0.97,8.55,28.86,0.004493192,0.0100470827,12.7988678374,41110953.70402611,0,3.5860879234353973e-10
24.23,0.2208857142857142,0.050625,0.3124,1.616,19.03,24.23,0.0378926498,0.0847305409,10.5191927112,19876170.44225363,0,0.002127717513246852
26.31,0.2208857142857142,0.050625,0.6305,1.818,8.12,26.31,0.0145396843,0.0325117225,18.0721120943,821197.984842965,0,3.3946169236670035e-06
25.27,0.2208857142857142,0.050625,0.5346,2.151,1.78,25.27,0.0234722638,0.0524855773,7.4350863443,6521689.926185989,0,8.166123840958106e-05
27.25,0.2208857142857142,0.050625,0.1231,1.126,4.19,27.25,0.0094309399,0.0210882227,3.3909259603,355095.22809355,0,1.7063728482667638e-07
25.43,0.2208857142857142,0.050625,0.5613,1.742,19.78,25.43,0.021804944,0.0487573371,18.174873661,3058445.739487677,0,4.783035476280129e-05
23.5,0.2208857142857142,0.050625,0.139,1.195,20.99,23.5,0.0530340723,0.1185877909,18.6824803752,69419945.56144948,0,0.02309770242164631
26.23,0.2208857142857142,0.050625,0.0814,1.074,5.99,26.23,0.0150853356,0.0337318359,3.4379335437,7403425.292127392,0,6.042133206426183e-06
28.69,0.2208857142857142,0.050625,0.1379,0.936,5.12,28.69,0.0048590904,0.0108652564,13.0363947842,44039481.801623344,0,7.484475271488728e-10
18.59,0.2208857142857142,0.050625,0.4125,1.151,3.94,18.6,0.5064714588,1.1325046106,10.1763046198,14819302.572401252,1,0.9841852376670324
27.8,0.2208857142857142,0.050625,0.3393,1.133,3.24,27.8,0.0073207399,0.016369672,7.0238654145,19334957.61685419,0,1.4582682607908734e-08
26.8,0.2208857142857142,0.050625,0.2874,1.441,5.67,26.8,0.0116025908,0.0259441818,18.2997100887,73269220.78353204,0,3.776891664071566e-07
24.37,0.2208857142857142,0.050625,0.1797,1.093,1.8,24.37,0.0355267088,0.079440136,3.0335154405,24625320.16096956,0,0.002834502325817732
24.7,0.2208857142857142,0.050625,0.5203,1.442,2.81,24.7,0.0305179233,0.0682401509,15.2332761476,6592732.473630076,0,0.00134665870658545
25.84,0.2208857142857142,0.050625,0.228,1.225,11.2,25.84,0.0180532326,0.0403682552,6.2375004783,37022749.425696224,0,9.26897302260949e-06
20.54,0.2208857142857142,0.050625,0.6401,2.618,2.99,20.54,0.2072788434,0.4634895841,9.3195372805,6420246.802710491,1,0.9680175546678069
21.68,0.2208857142857142,0.050625,0.3838,0.8741,10.88,21.68,0.1226182113,0.2741826558,25.7630948376,66921797.07203395,0,0.8923653635674971
25.88,0.2208857142857142,0.050625,0.2925,0.8145,6.24,25.88,0.0177237239,0.0396314515,8.3173566881,49668157.47533864,0,1.0167978884693341e-05
26.6,0.2208857142857142,0.050625,0.3084,0.7902,7.74,26.6,0.0127219879,0.0284472297,16.8547879585,46538177.43028861,0,1.3516782960818369e-06
23.67,0.2208857142857142,0.050625,0.3844,1.039,16.99,23.67,0.0490405098,0.1096579137,10.4541511884,41779099.25997568,0,0.0109316862099393
25.7,0.2208857142857142,0.050625,0.5127,1.501,24.52,25.7,0.0192555078,0.0430566244,18.7303118917,16189487.26587778,0,1.4317599012414907e-05
24.04,0.2208857142857142,0.050625,0.3509,1.317,18.22,24.04,0.0413575665,0.0924783301,10.7233243178,70611388.13180687,0,0.0017357321218946314
28.0,0.2208857142857142,0.050625,0.1299,1.147,3.78,28.0,0.0066765941,0.0149293183,5.2888255903,43946464.29946241,0,5.496003032523647e-09
25.55,0.2208857142857142,0.050625,0.3338,1.558,3.14,25.55,0.0206326484,0.0461360043,1.1154524861,54524685.627982095,0,1.3991461968068966e-05
25.99,0.2208857142857142,0.050625,0.6065,2.594,1.18,25.99,0.0168482569,0.0376738478,7.1465535979,5621213.926436928,0,4.762159707701995e-06
28.43,0.2208857142857142,0.050625,0.2881,1.306,1.19,28.43,0.0054771543,0.0122472894,7.7313644873,3910591.170335625,0,2.2665483064577176e-09
26.79,0.2208857142857142,0.050625,0.4586,1.228,31.2,26.79,0.0116561459,0.0260639347,21.0972128277,5063541.011959044,0,3.7085623393538644e-07
21.26,0.2208857142857142,0.050625,0.689,2.094,6.65,21.26,0.1487835705,0.3326901775,17.5611867728,49699887.73707776,1,0.8697840464310117
25.58,0.2208857142857142,0.050625,0.3575,0.9297,19.77,25.58,0.0203495578,0.0455029946,13.6480034295,11397647.521069732,0,3.673989728305302e-05
27.8,0.2208857142857142,0.050625,0.4971,1.163,2.01,27.8,0.0073207399,0.016369672,22.1781653855,32976155.779947046,0,2.5800429639221524e-08
24.04,0.2208857142857142,0.050625,0.2821,0.9591,25.21,24.04,0.0413575665,0.0924783301,17.3430024795,36971497.79382569,0,0.004803824653783733
27.52,0.2208857142857142,0.050625,0.4707,0.8569,3.61,27.52,0.0083282735,0.0186225856,13.4955767153,284646.793630381,0,8.04058743937453e-08
25.29,0.2208857142857142,0.050625,0.3833,1.631,0.19,25.29,0.0232570687,0.0520043867,7.0151732006,5139243.951927667,0,0.00013708807206034532
18.29,0.2208857142857142,0.050625,0.3354,1.599,5.15,18.29,0.5841911542,1.3062911326,7.6402433621,26648300.157995164,0,0.9425332183137106
25.4,0.2208857142857142,0.050625,0.5168,0.8413,0.92,25.4,0.022108281,0.0494356193,11.7834695066,41739188.1190373,0,7.099285120529684e-05
24.41,0.2208857142857142,0.050625,0.6217,2.536,3.17,24.41,0.0348782733,0.0779901901,9.6731949586,6756956.003787431,0,0.0012055422362847131
27.93,0.2208857142857142,0.050625,0.3148,1.343,3.6,27.93,0.0068953287,0.0154184238,6.6318215048,708943.782337455,0,1.1644455891265078e-08
22.57,0.2208857142857142,0.050625,0.6413,2.22,9.99,22.57,0.0813869881,0.1819868378,13.9200780406,11424903.0262812,0,0.2670947510355133
24.4,0.2208857142857142,0.050625,0.3545,0.8115,6.28,24.4,0.0350392641,0.0783501764,12.7103954459,59299958.56059125,0,0.0017327152579505677
27.9,0.2208857142857142,0.050625,0.358,1.282,8.5,27.9,0.0069912523,0.0156329154,24.3388479445,70498067.3413676,0,8.940341267894858e-09
25.4,0.2208857142857142,0.050625,0.5168,0.8413,0.92,25.4,0.022108281,0.0494356193,12.04496786,67673610.47270647,0,4.4415970649515544e-05
26.87,0.2208857142857142,0.050625,0.2794,0.8654,35.33,26.87,0.0112345318,0.0251211767,23.5874574608,49203705.27676829,0,1.896605518405899e-07
27.03,0.2208857142857142,0.050625,0.6697,2.5,8.77,27.03,0.0104365024,0.0233367288,15.481159451,1543340.009341596,0,1.3682640080437463e-07
23.18,0.2208857142857142,0.050625,0.5325,0.9939,9.35,23.18,0.0614546821,0.1374168468,11.0115769909,47266886.60680301,0,0.05256687476168135
25.23,0.2208857142857142,0.050625,0.5728,2.33,0.46,25.23,0.0239086457,0.0534613571,7.3103291233,2248832.194823476,0,9.289768243260438e-05
26.2,0.2208857142857142,0.050625,0.4367,0.7942,0.41,26.2,0.0152951935,0.0342010925,14.8116606962,67762561.05205293,0,3.831986199734309e-06
25.51,0.2208857142857142,0.050625,0.1418,0.9558,8.7,25.51,0.0210162379,0.0469937366,6.3343361342,26746165.87280641,0,5.454207717543751e-05
27.3,0.2208857142857142,0.050625,0.7415,1.663,0.96,27.3,0.0092162655,0.0206081961,23.7475456138,1013173.834738056,0,1.7738121693685953e-07
