H,albedo,diameter_sigma,e,a,i,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_per_s,miss_distance_km,true_label,risk_score
22.67,0.2208857142857142,0.050625,0.2018,1.038,18.21,22.67,0.0777239702,0.1737960809,11.4531099873,1218444.297742177,0,0.40864812565108294
24.79,0.2208857142857142,0.050625,0.4189,1.843,9.07,24.79,0.0292789148,0.0654696439,7.0452886147,13989641.940770896,0,0.00035211032951754795
25.55,0.2208857142857142,0.050625,0.3338,1.558,3.14,25.55,0.0206326484,0.0461360043,12.2739465282,43055567.42532412,0,3.792450296794417e-05
26.02,0.2208857142857142,0.050625,0.185,0.9848,1.07,25.95,0.0171614894,0.0383742569,6.0846307529,27765881.95151489,0,1.316938832705302e-05
25.0,0.2208857142857142,0.050625,0.0479,1.168,24.71,25.0,0.02658,0.0594346868,13.3944012338,45360286.07826667,0,0.000175095662085204
28.73,0.2208857142857142,0.050625,0.2339,0.8083,0.36,28.73,0.004770402,0.0106669431,11.0069172219,55151931.50026833,0,5.179506802202545e-10
23.71,0.2208857142857142,0.050625,0.3561,1.45,17.73,23.71,0.0481454197,0.1076564312,10.1549165595,28313723.413654663,0,0.01020433641484493
28.44,0.2208857142857142,0.050625,0.3246,1.493,7.1,28.44,0.0054519891,0.0121910182,5.8981736164,1450290.209000531,0,1.274822140527956e-09
22.8,0.2208857142857142,0.050625,0.6069,2.518,22.46,22.8,0.0732073989,0.1636967205,16.1975427591,9629977.053383484,0,0.10039720277427275
24.1,0.2208857142857142,0.050625,0.3125,0.9922,21.61,24.1,0.040230458,0.0899580388,11.2133494046,44904232.423796415,0,0.002490359361156454
26.5,0.2208857142857142,0.050625,0.7359,1.694,0.5,26.5,0.0133215567,0.0297879063,23.4871328278,2244992.107259298,0,3.1633702856822014e-06
27.72,0.2208857142857142,0.050625,0.3163,1.467,7.32,27.72,0.0075954757,0.0169839999,6.1375465022,592206.071828897,0,1.896293199593825e-08
24.55,0.2208857142857142,0.050625,0.2626,1.029,10.0,24.55,0.0327005439,0.0731206391,8.5048414448,15247712.111273136,0,0.0015728085627988559
27.72,0.2208857142857142,0.050625,0.259,1.362,2.02,27.72,0.0075954757,0.0169839999,3.5483510215,4249271.338309602,0,2.2589007062763884e-08
22.1,0.2208857142857142,0.050625,0.546,1.155,45.73,22.1,0.1010543415,0.2259643771,32.4840178326,32389361.90473837,0,0.4941359925857764
18.91,0.2208857142857142,0.050625,0.6895,2.454,21.18,18.91,0.439091446,0.9818383215,18.889575627,29553969.05778556,0,0.9521629692295807
23.6,0.2208857142857142,0.050625,0.2955,1.065,18.3,23.6,0.0506471459,0.1132504611,10.816052953,66118028.80982362,0,0.009625992985323868
24.06,0.2208857142857142,0.050625,0.1937,0.9945,17.68,24.06,0.040978398,0.0916304836,10.7894925983,2578319.498887018,0,0.00920062152556592
25.86,0.2208857142857142,0.050625,0.3142,0.8248,26.44,25.86,0.0178877195,0.0399981568,14.2814444629,7539229.370845746,0,1.2322978651355751e-05
24.69,0.2208857142857142,0.050625,0.4215,0.767,35.03,24.69,0.0306587876,0.0685551332,17.3658263891,13388086.271343164,0,0.0004374255142553241
23.95,0.2208857142857142,0.050625,0.4387,0.9539,20.11,23.95,0.0431077124,0.0963917753,20.4303680653,54465763.93379923,0,0.005662290827160282
25.79,0.2208857142857142,0.050625,0.0881,0.946,14.7,25.79,0.0184737464,0.0413085527,17.378865053,70399452.64986041,0,1.572671754419153e-05
26.32,0.2208857142857142,0.050625,0.3108,1.307,11.57,26.32,0.0144728805,0.0323623447,11.1892495488,8591696.626997363,0,3.2822252068008424e-06
28.15,0.2208857142857142,0.050625,0.5998,2.018,7.41,28.15,0.0062309602,0.0139328506,14.5578657881,522490.397652562,0,3.2740361861949355e-09
26.23,0.2208857142857142,0.050625,0.549,1.917,0.52,26.23,0.0150853356,0.0337318359,11.3914000728,1214087.947928629,0,4.612155826875104e-06
23.67,0.2208857142857142,0.050625,0.4202,0.7236,4.09,23.67,0.0490405098,0.1096579137,15.6169238234,28251635.809668567,0,0.041342627214414826
25.23,0.2208857142857142,0.050625,0.3592,1.553,9.54,25.23,0.0239086457,0.0534613571,14.1276731856,46205770.00572224,0,8.57798025757338e-05
25.16,0.2208857142857142,0.050625,0.312,1.167,6.01,25.16,0.0246919266,0.0552128263,9.0847815967,73932626.0616945,0,7.107992986577626e-05
26.37,0.2208857142857142,0.050625,0.323,1.028,16.98,26.37,0.0141434375,0.0316256878,12.4827001188,2249682.509116556,0,2.839672325084387e-06
25.41,0.2208857142857142,0.050625,0.1575,1.042,4.54,25.41,0.0220067027,0.0492084832,4.7760826472,31990061.64300364,0,7.29461808980018e-05
23.99,0.2208857142857142,0.050625,0.4826,1.845,4.47,23.99,0.042320908,0.0946324271,9.2304153359,7112686.274839131,0,0.007624340289429496
22.1,0.2208857142857142,0.050625,0.4299,1.478,5.86,22.1,0.1010543415,0.2259643771,9.1227683636,20055830.841978204,0,0.6672948802965915
22.22,0.2208857142857142,0.050625,0.5471,1.773,3.25,22.22,0.0956213733,0.2138158908,10.8663912369,24341852.58750924,0,0.552992471134936
24.46,0.2208857142857142,0.050625,0.4771,2.067,2.13,24.46,0.0340843469,0.0762149166,6.1776940806,13263331.34170514,0,0.0011966116400428228
25.05,0.2208857142857142,0.050625,0.3354,1.044,29.12,25.05,0.0259749653,0.0580817882,16.5018503314,14482348.98824388,0,0.0001640626700728876
23.14,0.2208857142857142,0.050625,0.2868,1.178,20.59,23.14,0.06259721,0.1399716167,17.2872984214,32350643.118663058,0,0.09349438041147465
26.0,0.2208857142857142,0.050625,0.1726,1.191,6.53,26.0,0.0167708462,0.0375007522,6.4005840125,54811157.65026456,0,5.428860638330982e-06
23.18,0.2208857142857142,0.050625,0.215,1.197,23.84,23.18,0.0614546821,0.1374168468,15.2147228086,37992809.66293304,0,0.06346916745040773
27.05,0.2208857142857142,0.050625,0.3097,0.9934,14.16,27.05,0.01034082,0.0231227764,16.2877622095,23831307.609695747,0,2.5431153785553046e-07
26.7,0.2208857142857142,0.050625,0.6263,2.592,1.47,26.7,0.0121494041,0.0271668934,9.854047585,3754840.220264229,0,4.430937309585513e-07
23.83,0.2208857142857142,0.050625,0.2287,1.023,11.79,23.83,0.0455569852,0.1018685158,7.2306370795,40390957.03266158,0,0.009363991750150428
27.2,0.2208857142857142,0.050625,0.3924,0.7551,11.85,27.2,0.0096506147,0.0215794305,8.8464164064,3365069.342848491,0,1.3894448879214696e-07
25.28,0.2208857142857142,0.050625,0.0726,1.177,13.12,25.28,0.0233644185,0.052244428,6.891507603,14119956.331172368,0,0.00013113327914106746
26.22,0.2208857142857142,0.050625,0.2282,1.259,14.22,26.22,0.0151549664,0.033887535,8.6246775469,5418819.377765048,0,4.309705883373942e-06
25.5,0.2208857142857142,0.050625,0.1788,0.8719,1.9,25.5,0.0211132445,0.0472106499,17.518576502,64253465.94098791,0,8.441039262391529e-05
25.3,0.2208857142857142,0.050625,0.3365,1.211,18.16,25.3,0.0231502122,0.0517654482,13.8405515093,1489340.234679602,0,0.00011892690828819676
27.31,0.2208857142857142,0.050625,0.4902,1.964,7.18,27.31,0.0091739206,0.0205135101,7.6996138583,4570831.914995241,0,5.1718668205576407e-08
25.77,0.2208857142857142,0.050625,0.0071,1.022,34.83,25.77,0.0186446818,0.041690776,20.7989772533,59213611.19361979,0,1.0452227820801426e-05
26.53,0.2208857142857142,0.050625,0.112,0.9535,1.25,26.53,0.0131387781,0.0293792009,8.2067299147,23506065.48926856,0,2.7089325043086853e-06
27.4,0.2208857142857142,0.050625,0.2076,1.206,9.33,27.4,0.0088014652,0.0196806745,6.7726735119,2088936.755442026,0,7.68277460588942e-08
22.3,0.2208857142857142,0.050625,0.76,0.7451,19.79,22.3,0.0921626549,0.2060819612,37.1933325994,74405925.65781407,0,0.532485871391397
20.87,0.2208857142857142,0.050625,0.5216,1.24,4.76,20.87,0.1780553292,0.3981438198,17.845106292,14547385.480403207,0,0.9836476024602528
26.03,0.2208857142857142,0.050625,0.1873,0.8904,16.83,26.03,0.0165407416,0.0369862226,9.2249544322,10118763.843793755,0,9.023974546484047e-06
27.6,0.2208857142857142,0.050625,0.234,1.043,3.85,27.6,0.0080270317,0.0179489885,6.2480658598,38931976.66843296,0,2.429430223456603e-08
18.93,0.411,0.01,0.2186,0.8928,12.03,18.93,0.4350658314,0.9728367737,9.1715507702,23782605.783760656,0,0.9517418231945963
25.82,0.2208857142857142,0.050625,0.2797,1.394,0.65,25.82,0.0182202771,0.0407417781,4.2824495917,1359101.839996089,0,2.4686452020879383e-05
26.6,0.2208857142857142,0.050625,0.1785,1.164,3.83,26.6,0.0127219879,0.0284472297,4.9364877306,38689233.79400742,0,8.875328369157327e-07
27.4,0.2208857142857142,0.050625,0.2033,1.135,1.33,27.4,0.0088014652,0.0196806745,5.7662189249,45426389.26307825,0,4.991617358492167e-08
23.54,0.2208857142857142,0.050625,0.2491,1.305,28.62,23.54,0.0520660914,0.1164233197,15.5440350691,38122709.06884313,0,0.01558963652720576
25.7,0.2208857142857142,0.050625,0.2652,0.9561,12.45,25.7,0.0192555078,0.0430566244,8.7634469402,48528868.88128405,0,1.449192023873249e-05
22.62,0.2208857142857142,0.050625,0.1255,1.066,21.45,22.62,0.079534394,0.1778443116,11.6163415335,5798018.278426395,0,0.4147435235825919
28.03,0.2208857142857142,0.050625,0.58,0.9246,7.07,28.03,0.0065849878,0.0147244804,22.9922200734,28506625.61844016,0,9.41977885732939e-09
25.1,0.2208857142857142,0.050625,0.1577,1.013,7.71,25.1,0.0253837029,0.0567596853,15.8630731929,60525676.99492303,0,0.00023482267661659124
26.44,0.2208857142857142,0.050625,0.3552,1.577,2.99,26.44,0.0136947774,0.0306224531,8.3762971989,16479710.170514544,0,1.92098186276681e-06
26.38,0.2208857142857142,0.050625,0.2592,1.082,12.75,26.38,0.0140784543,0.0314803809,9.7362070942,4321960.389830483,0,2.9614723916223166e-06
22.97,0.2208857142857142,0.050625,0.3781,0.8226,32.9,22.97,0.0676947481,0.1513700585,16.244496061,21823731.10695256,0,0.0931266168862826
21.34,0.072,0.01,0.4101,0.8203,21.73,21.34,0.1434019235,0.320656449,19.5225691203,67751425.9440365,1,0.9186472500599413
25.1,0.2208857142857142,0.050625,0.1164,1.213,13.47,25.1,0.0253837029,0.0567596853,7.0758229437,16311206.211462663,0,0.000212722760857454
28.45,0.2208857142857142,0.050625,0.1955,0.8586,2.37,28.45,0.0054269395,0.0121350055,6.2879777426,11181224.566776687,0,2.2610856803904225e-09
24.53,0.2208857142857142,0.050625,0.4246,1.268,33.27,24.53,0.0330031183,0.0737972161,19.391963212,17651345.773446903,0,0.0006941129582498215
27.25,0.2208857142857142,0.050625,0.2995,1.146,5.51,27.25,0.0094309399,0.0210882227,8.3456321609,66657967.809360005,0,4.6768271450963176e-08
25.0,0.2208857142857142,0.050625,0.4466,1.927,5.71,25.0,0.02658,0.0594346868,7.3460047773,19321953.747205503,0,0.00017232472701699425
29.16,0.2208857142857142,0.050625,0.2701,0.9436,1.04,29.16,0.0039134066,0.0087506433,7.7597055986,38880884.89684632,0,9.675263884402985e-11
28.33,0.2208857142857142,0.050625,0.2611,0.8167,7.33,28.33,0.0057352846,0.0128244863,5.8271426131,45730372.97266632,0,1.2482357843208446e-09
24.17,0.2208857142857142,0.050625,0.5584,1.676,28.12,24.17,0.0389542616,0.087104377,21.1087076679,7374512.362194622,0,0.0026884911398253357
17.81,0.2208857142857142,0.050625,0.3597,1.557,16.09,17.81,0.7287104149,1.6294460236,11.6691798166,15290773.603836255,0,0.705828402745753
22.71,0.2208857142857142,0.050625,0.4101,1.327,12.84,22.71,0.0763053479,0.1706239449,22.7846865863,52142644.787726045,0,0.2938685844161584
27.93,0.2208857142857142,0.050625,0.0632,0.9802,3.51,27.93,0.0068953287,0.0154184238,17.3209058824,74013144.22798309,0,1.1581924517542123e-08
24.8,0.2208857142857142,0.050625,0.2686,0.9894,3.26,24.8,0.0291443905,0.0651688382,22.0516156932,65360740.66566144,0,0.0009669957840575664
24.34,0.2208857142857142,0.050625,0.158,1.248,12.8,24.34,0.0360209346,0.0805452583,7.237356434,13202264.339267544,0,0.002861359969441151
24.9,0.2208857142857142,0.050625,0.1989,1.212,23.08,24.9,0.0278326768,0.0622357573,12.6965379322,16500925.31764966,0,0.0003285657102468946
27.28,0.2208857142857142,0.050625,0.0907,1.01,1.1,27.28,0.0093015425,0.0207988814,2.5837942977,3696072.522128743,0,1.779742605380385e-07
22.18,0.2208857142857142,0.050625,0.4573,1.99,7.95,22.18,0.0973991073,0.217791025,6.2837773793,14152846.06616271,0,0.5023214788238003
24.67,0.2208857142857142,0.050625,0.1533,1.311,4.77,24.68,0.0308003021,0.0688715693,2.4994935852,17445304.118463147,0,0.0009131541374597308
29.55,0.2208857142857142,0.050625,0.2658,1.321,1.83,29.55,0.0032700544,0.0073120639,7.6516383262,16245498.174464907,0,2.8114365204156343e-11
25.55,0.2208857142857142,0.050625,0.1068,0.9896,8.88,25.55,0.0206326484,0.0461360043,5.5630499979,15933384.164717436,0,5.716537120039777e-05
24.4,0.2208857142857142,0.050625,0.4985,2.125,6.06,24.4,0.0350392641,0.0783501764,6.1588219753,19056435.80881522,0,0.0010028242140810303
22.6,0.2208857142857142,0.050625,0.4801,1.239,13.69,22.6,0.0802703167,0.1794898848,12.1795072264,42546601.58766657,0,0.22169239432641497
21.03,0.2208857142857142,0.050625,0.7521,1.231,17.49,21.03,0.1654074158,0.3698622257,30.6649200548,27476023.257852428,0,0.9676639382213836
26.5,0.2208857142857142,0.050625,0.3113,0.8172,6.5,26.5,0.0133215567,0.0297879063,15.3644012418,63031190.87562886,0,1.342203291402701e-06
27.15,0.2208857142857142,0.050625,0.6792,2.609,0.58,27.15,0.0098754064,0.02208208,14.9739576294,1474403.440872221,0,1.220602070513652e-07
25.13,0.2208857142857142,0.050625,0.2492,0.8562,5.64,25.13,0.0250354255,0.0559809132,6.7648594334,850377.393461566,0,0.00034790171430341456
23.9,0.2208857142857142,0.050625,0.3987,1.358,3.85,23.9,0.04411182,0.0986370281,7.2565355753,71736247.727064,0,0.003975455577985513
28.48,0.2208857142857142,0.050625,0.2022,0.8508,1.63,28.48,0.0053524791,0.011968507,5.2112842588,118661.195041657,0,2.38014904683807e-09
28.5,0.2208857142857142,0.050625,0.1871,0.8661,2.3,28.5,0.0053034072,0.0118587791,4.0069128483,30164452.713135097,0,1.1387756234532584e-09
24.75,0.2208857142857142,0.050625,0.2403,1.223,2.04,24.75,0.0298232505,0.0666868155,6.1824271522,5268995.480343265,0,0.0011765656123663307
26.78,0.2208857142857142,0.050625,0.2705,1.455,2.32,26.78,0.0117099483,0.0261842403,3.4412486087,8559708.967163121,0,5.893024683509282e-07
25.48,0.2208857142857142,0.050625,0.1286,1.181,20.89,25.48,0.0213086029,0.0476474846,11.340879511,8526131.755161196,0,5.966276255391091e-05
25.26,0.2208857142857142,0.050625,0.225,1.358,18.92,25.26,0.0235806068,0.0527278398,10.5420724829,13372420.561914207,0,9.546385723465155e-05
27.66,0.2208857142857142,0.050625,0.6517,2.0,0.75,27.66,0.0078082728,0.0174598287,16.3409066888,9310511.430309536,0,2.468313823894097e-08
18.09,0.32,0.050625,0.703,0.7389,12.6,18.09,0.6405528629,1.4323197447,18.9880538419,12078251.946667789,0,0.8737161459184204
26.04,0.2208857142857142,0.050625,0.4064,1.209,15.09,26.04,0.0164647438,0.0368162863,14.1029805143,7511328.410664378,0,8.206877587977656e-06
24.26,0.2208857142857142,0.050625,0.5138,2.064,10.91,24.26,0.0373727432,0.0835679943,12.7390348691,22884919.993724115,0,0.0018362557230986994
29.92,0.2208857142857142,0.050625,0.3664,1.562,9.28,29.92,0.0027577505,0.0061665176,2.5309263627,68978203.83048362,0,9.354460972064024e-13
27.75,0.2208857142857142,0.050625,0.0969,1.046,3.35,27.75,0.0074912618,0.0167509707,14.9442306528,63821334.5567083,0,2.1187365414769505e-08
27.49,0.2208857142857142,0.050625,0.7028,1.574,32.46,27.49,0.0084441313,0.0188816516,28.0730045961,400336.705697672,0,2.6573738737551473e-08
23.54,0.2208857142857142,0.050625,0.1826,1.192,9.12,23.54,0.0520660914,0.1164233197,15.4239273381,57289112.07280666,0,0.034405798616133944
23.76,0.2208857142857142,0.050625,0.4774,1.837,10.87,23.76,0.0470494961,0.1052058716,10.9199365882,13418191.780535787,0,0.01164227580626271
27.74,0.2208857142857142,0.050625,0.325,1.446,4.03,27.74,0.0075258399,0.0168282897,6.1288379388,4035851.755734036,0,1.9447457762459797e-08
24.08,0.2208857142857142,0.050625,0.4858,2.22,6.43,24.08,0.0406027058,0.0907904103,5.387034818,22641063.542673875,0,0.0024672941877645848
27.9,0.2208857142857142,0.050625,0.1998,1.007,8.86,27.9,0.0069912523,0.0156329154,5.8904597323,40674211.92283012,0,6.361763600134993e-09
24.24,0.2208857142857142,0.050625,0.4526,1.012,0.91,24.24,0.0377185489,0.0843412394,15.1841830919,8831759.545340568,0,0.00909197460465037
27.05,0.2208857142857142,0.050625,0.0823,0.961,10.47,27.05,0.01034082,0.0231227764,5.0988330654,27406948.34127288,0,2.00996299671666e-07
24.31,0.2208857142857142,0.050625,0.2908,1.49,10.1,24.31,0.0365220357,0.0816657545,6.3133183506,13316853.360609503,0,0.0023992325494063466
27.05,0.2208857142857142,0.050625,0.3899,1.566,11.52,27.05,0.01034082,0.0231227764,16.0767535281,38705662.04865913,0,1.449051479493772e-07
26.53,0.2208857142857142,0.050625,0.1683,0.9689,4.78,26.53,0.0131387781,0.0293792009,6.4723626449,9034449.325408893,0,2.3535552281454428e-06
22.29,0.2208857142857142,0.050625,0.4804,2.226,24.67,22.29,0.0925880583,0.2070331923,14.2918326423,27498476.35728137,0,0.2716523916971691
25.9,0.2208857142857142,0.050625,0.4148,0.8295,3.27,25.9,0.0175612318,0.0392681082,11.9996643285,2267317.375308322,0,2.7741531410357312e-05
22.3,0.2208857142857142,0.050625,0.58,2.118,6.94,22.3,0.0921626549,0.2060819612,13.5622217834,18827053.53511917,0,0.4712209515581054
24.76,0.2208857142857142,0.050625,0.3087,1.199,2.7,24.76,0.0296862251,0.0663804174,19.8792677095,55137393.11550833,0,0.0010044532202432585
30.16,0.2208857142857142,0.050625,0.3713,1.329,4.71,30.16,0.0024691927,0.0055212826,10.8706316671,101643.330304919,0,3.491954722210224e-12
21.28,0.2208857142857142,0.050625,0.5493,1.934,13.2,21.24,0.1501602479,0.3357685218,12.946671524,20655271.57151881,0,0.8882500812363148
24.83,0.2208857142857142,0.050625,0.2952,1.698,1.44,24.83,0.0287445144,0.0642746882,1.3904730266,28879302.97947629,0,0.0003094186765139326
