full_name,H,albedo,diameter_sigma,e,a,i,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
2023 hm4,27.69,,,0.0489,1.014,1.54,54356389,2023 hm4,27.69,0.0077011393,0.0172202709,False,2025-04-01,7.2978590246,32074599.219823197,Earth
2023 hp5,27.63,,,0.3612,1.597,3.77,54356988,2023 hp5,27.63,0.0079168967,0.0177027191,False,2025-05-22,6.94750856,10502731.251360288,Earth
2023 hu5,27.58,,,0.2252,0.9788,7.15,54356994,2023 hu5,27.58,0.0081013049,0.0181150684,False,2025-01-13,7.4663124731,36898816.0127613,Earth
2023 jr,23.93,,,0.3516,1.628,51.13,54357462,2023 jr,23.93,0.0435065831,0.0972836774,False,2025-05-22,27.3153299644,69751719.7980713,Earth
2023 jx,22.74,,,0.3451,1.615,11.27,54357785,2023 jx,22.74,0.0752583992,0.1682828966,False,2025-05-07,17.94788983,72648953.29284641,Earth
2023 jl1,27.29,,,0.1714,1.015,10.18,54357980,2023 jl1,27.29,0.0092588058,0.0207033192,False,2025-03-25,5.5761674974,36811278.72937208,Earth
2023 jd2,23.72,,,0.398,1.614,19.55,54358375,2023 jd2,23.72,0.0479242116,0.1071617948,False,2025-06-03,19.6000628489,49398365.09196863,Earth
2023 jf2,24.61,,,0.3226,1.554,17.77,54358378,2023 jf2,24.61,0.0318093633,0.0711278987,False,2025-05-15,17.6449926776,54490940.2530145,Earth
2023 jv4,24.06,,,0.3109,1.563,19.1,54358783,2023 jv4,24.06,0.040978398,0.0916304836,False,2025-05-23,15.9851097417,46745231.9376512,Earth
2023 jf5,23.67,,,0.2543,1.577,25.63,54358912,2023 jf5,23.67,0.0490405098,0.1096579137,False,2025-05-10,12.9852081981,39413562.07169781,Earth
2023 ku,22.28,,,0.5864,1.022,3.83,54359258,2023 ku,22.28,0.0930154254,0.2079888141,False,2025-04-11,18.0075097566,1057371.762480419,Earth
2023 kj2,25.66,,,0.3579,1.013,11.82,54359833,2023 kj2,25.66,0.0196134944,0.0438571068,False,2025-05-25,18.0968383766,33805866.67646173,Earth
2023 lh,24.86,,,0.3795,1.532,5.48,54370593,2023 lh,24.86,0.0283501249,0.0633928065,False,2025-02-09,17.9162691819,54248249.064653054,Earth
2023 lo,27.57,,,0.3393,1.554,2.79,54372216,2023 lo,27.57,0.0081386988,0.0181986838,False,2025-04-24,15.4192111669,52601051.28757608,Earth
2023 ml,23.0,,,0.4054,0.7791,7.69,54373546,2023 ml,23.0,0.0667659413,0.1492931834,False,2025-05-10,15.6143598988,36620074.37065237,Earth
2023 mt2,23.48,,,0.4018,1.568,12.61,54373925,2023 mt2,23.48,0.0535247906,0.1196850702,False,2025-04-26,7.7133590317,31882102.18590881,Earth
2023 oa,26.45,,,0.1683,1.086,11.12,54375205,2023 oa,26.45,0.0136318556,0.0304817558,False,2025-01-11,19.3208543055,68965285.51585679,Earth
2023 os,24.4,,,0.1241,1.032,20.24,54375585,2023 os,24.4,0.0350392641,0.0783501764,False,2025-01-15,10.8724443124,6335217.647290115,Earth
2023 os3,27.82,,,0.1603,1.042,0.38,54376020,2023 os3,27.82,0.0072536229,0.016219594,False,2025-01-09,3.0567992784,7681924.331370549,Earth
2023 ov4,25.45,,,0.3319,1.627,2.37,54376265,2023 ov4,25.45,0.0216050351,0.0483103272,False,2025-05-25,3.5322477719,70414875.20291147,Earth
2023 oe5,26.37,,,0.1244,1.023,1.72,54376459,2023 oe5,26.37,0.0141434375,0.0316256878,False,2025-03-28,3.0157544439,17917415.713017706,Earth
2023 py,22.44,,,0.4832,1.479,9.17,54376897,2023 py,22.44,0.0864082036,0.1932146172,False,2025-02-14,27.7568384484,68811382.8025899,Earth
2023 qm1,25.52,,,0.3465,1.533,8.08,54377397,2023 qm1,25.52,0.0209196771,0.04677782,False,2025-04-23,19.9240100209,73690144.38514997,Earth
2023 qg4,22.68,,,0.2785,1.108,44.76,54377971,2023 qg4,22.68,0.077366861,0.1729975604,False,2025-02-28,28.0315643405,41883660.57153388,Earth
2023 ql7,20.73,,,0.2173,0.972,25.09,54378880,2023 ql7,20.73,0.1899131235,0.4246586539,True,2025-03-08,14.9851102062,36154113.62716095,Earth
2023 rx1,30.25,,,0.0374,0.9909,1.57,54380881,2023 rx1,30.25,0.002368945,0.005297122,False,2025-04-13,1.3788879427,6940661.305519998,Earth
2023 rw3,26.62,,,0.1063,1.023,8.86,54381338,2023 rw3,26.62,0.012605352,0.0281864239,False,2025-02-25,5.1488362368,2742173.013672715,Earth
2023 rz3,25.7,,,0.5127,1.501,24.52,54381339,2023 rz3,25.7,0.0192555078,0.0430566244,False,2025-03-18,18.7303118917,16189487.265877781,Earth
2023 ra4,24.68,,,0.0867,1.05,6.45,54381341,2023 ra4,24.68,0.0308003021,0.0688715693,False,2025-03-28,13.4071266131,57028828.085174486,Earth
2023 rf4,25.26,,,0.349,0.9359,7.78,54381665,2023 rf4,25.26,0.0235806068,0.0527278398,False,2025-03-25,12.7249844588,52796477.253307834,Earth
2023 ra10,28.8,,,0.0439,0.9906,8.03,54383282,2023 ra10,28.8,0.0046190746,0.0103285648,False,2025-01-23,5.4705408895,26175844.503299396,Earth
2023 rv12,26.2,,,0.378,0.7519,0.69,54383301,2023 rv12,26.2,0.0152951935,0.0342010925,False,2025-05-27,9.7395078115,60733939.340528205,Earth
2023 ry15,27.98,,,0.4085,1.54,6.91,54383809,2023 ry15,27.98,0.0067383719,0.0150674576,False,2025-05-15,13.3167924011,26546995.592066854,Earth
2023 sk3,25.87,,,0.1929,0.9806,15.4,54385807,2023 sk3,25.87,0.0178055329,0.039814382,False,2025-05-08,9.5702625478,43332204.34508046,Earth
2023 sj4,25.32,,,0.4368,1.528,7.88,54386830,2023 sj4,25.32,0.0229379698,0.0512908597,False,2025-05-04,13.6972358297,22325532.08926455,Earth
2023 sn11,23.78,,,0.4907,1.488,29.11,54392052,2023 sn11,23.78,0.0466181437,0.1042413384,False,2025-03-24,24.0732824596,32288129.340264905,Earth
2023 th4,27.03,,,0.1481,1.073,7.37,54392414,2023 th4,27.03,0.0104365024,0.0233367288,False,2025-04-04,17.0300254997,65695070.06382242,Earth
2023 tx6,29.16,,,0.2701,0.9436,1.04,54392653,2023 tx6,29.16,0.0039134066,0.0087506433,False,2025-04-15,7.7597055986,38880884.89684632,Earth
2023 tb7,25.55,,,0.1331,1.047,5.1,54392657,2023 tb7,25.55,0.0206326484,0.0461360043,False,2025-04-30,9.6929746162,29933439.28410372,Earth
2023 tg8,28.1,,,0.4087,0.8971,6.73,54392942,2023 tg8,28.1,0.0063760979,0.0142573883,False,2025-01-20,8.7992362319,26592305.2862997,Earth
2023 tv9,24.72,,,0.0995,1.007,13.96,54393149,2023 tv9,24.75,0.0298232505,0.0666868155,False,2025-04-15,8.1745527125,14348171.068292,Earth
2023 tk12,25.77,,,0.0071,1.022,34.83,54393421,2023 tk12,25.77,0.0186446818,0.041690776,False,2025-04-19,20.7989772533,59213611.19361979,Earth
2023 ug,26.57,,,0.1485,0.9707,2.83,54395028,2023 ug,26.57,0.0128989683,0.02884297,False,2025-04-11,4.6200229492,23277651.80194161,Earth
2023 uh,26.13,,,0.1425,1.04,19.89,54395029,2023 uh,26.13,0.0157962856,0.0353215683,False,2025-04-15,10.9577490641,3383491.37807241,Earth
2023 uj,26.31,,,0.2189,0.9128,1.99,54395027,2023 uj,26.31,0.0145396843,0.0325117225,False,2025-01-12,16.2748078974,47042760.52906834,Earth
2023 uy,29.96,,,0.2514,0.939,0.45,54395898,2023 uy,29.96,0.0027074159,0.006053966,False,2025-01-25,5.4968913209,19465557.036077373,Earth
2023 up2,26.69,,,0.2896,1.1,7.29,54397132,2023 up2,26.69,0.0122054832,0.0272922901,False,2025-04-24,14.6647219121,30662419.502038985,Earth
2023 ur3,26.27,,,0.178,0.9653,12.67,54397455,2023 ur3,26.27,0.0148099972,0.0331161605,False,2025-05-05,8.2505388631,30936179.475237772,Earth
2023 uy3,26.87,,,0.1506,1.032,4.17,54397460,2023 uy3,26.87,0.0112345318,0.0251211767,False,2025-04-09,2.9878578154,10527786.515979156,Earth
2023 vx1,25.46,,,0.5478,1.437,19.92,54402637,2023 vx1,25.46,0.021505769,0.0480883614,False,2025-04-12,29.709266862,55655630.041802555,Earth
2023 vp4,28.49,,,0.171,1.02,5.86,54403806,2023 vp4,28.49,0.0053278866,0.0119135167,False,2025-01-17,4.4723637603,23712752.74882009,Earth
2023 vs4,28.58,,,0.3469,0.9055,4.52,54403809,2023 vs4,28.58,0.0051115778,0.0114298355,False,2025-02-24,9.1937830599,13043968.684548084,Earth
2023 vr5,27.69,,,0.1007,1.015,1.3,54404085,2023 vr5,27.69,0.0077011393,0.0172202709,False,2025-02-17,2.5891100117,11608540.0515459,Earth
2023 vo6,28.11,,,0.0879,0.9618,8.82,54404103,2023 vo6,28.11,0.0063468024,0.0141918816,False,2025-03-23,8.0366282789,25024387.64841857,Earth
2023 wg1,26.7,,,0.2492,0.9236,5.34,54407111,2023 wg1,26.7,0.0121494041,0.0271668934,False,2025-03-09,9.8537887876,14737221.452446245,Earth
2023 xc,28.47,,,0.2059,1.07,2.48,54412202,2023 xc,28.47,0.005377185,0.0120237511,False,2025-05-31,9.8325902236,20416171.8390616,Earth
2023 xh,26.69,,,0.1952,1.022,4.19,54412460,2023 xh,26.69,0.0122054832,0.0272922901,False,2025-02-09,5.2697563677,24874994.518063456,Earth
2023 xw1,27.51,,,0.1448,0.943,5.02,54413294,2023 xw1,27.51,0.008366715,0.0187085435,False,2025-03-28,9.3718033764,25577834.3781896,Earth
2023 xz2,27.67,,,0.1949,1.019,7.32,54414145,2023 xz2,27.67,0.007772397,0.0173796081,False,2025-01-29,4.9285938605,26259719.346595064,Earth
2023 xw5,28.69,,,0.1379,0.936,5.12,54415298,2023 xw5,28.69,0.0048590904,0.0108652564,False,2025-03-28,13.0363947842,44039481.801623344,Earth
2023 xu7,24.91,,,0.1295,0.9486,5.72,54415867,2023 xu7,24.91,0.0277047973,0.06194981,False,2025-01-04,14.3078893462,49287093.762428805,Earth
2023 xx12,24.76,,,0.2624,1.035,3.14,54416724,2023 xx12,24.76,0.0296862251,0.0663804174,False,2025-03-25,8.3944522848,34874273.82501844,Earth
